sample	sample_id	indel_grp
111_31	111_31	rosenblatti
111_33	111_33	rosenblatti
111_34	111_34	rosenblatti
111_35	111_35	rosenblatti
111_55	111_55	rosenblatti
111_56	111_56	rosenblatti
111_57	111_57	rosenblatti
18_37	18_37	rosenblatti
18_38	18_38	rosenblatti
221_49	221_49	rosenblatti
221_50	221_50	rosenblatti
238_55	238_55	rosenblatti
240_12	240_12	rosenblatti
240_16	240_16	rosenblatti
240_17	240_17	rosenblatti
336_15	336_15	rosenblatti
336_16	336_16	rosenblatti
336_31	336_31	rosenblatti
336_36	336_36	rosenblatti
336_38	336_38	rosenblatti
336_55	336_55	rosenblatti
336_56	336_56	rosenblatti
336_70	336_70	rosenblatti
51_71	51_71	rosenblatti
51_72	51_72	rosenblatti
51_73	51_73	rosenblatti
51_74	51_74	rosenblatti
51_75	51_75	rosenblatti
51_76	51_76	rosenblatti
8_35	8_35	rosenblatti
8_41	8_41	rosenblatti
8_43	8_43	rosenblatti
8_44	8_44	rosenblatti
8_45	8_45	rosenblatti
8_47	8_47	rosenblatti
8_49	8_49	rosenblatti
8_74	8_74	rosenblatti
8_75	8_75	rosenblatti
8_76	8_76	rosenblatti
8_77	8_77	rosenblatti
8_78	8_78	rosenblatti
8_80	8_80	rosenblatti
8_82	8_82	rosenblatti
